StockName,StockPrice
TW,1
TW,2
TW,3
TW,4
TW,5
TW,6
TW,7
TW,8
TW,9
TW,10
TW,11
TW,12
TW,13
TW,14
TW,15
TW,16
TW,17
TW,18
TW,19
TW,20
TW,21
TW,22
TW,23
TW,24
TW,25
TW,26
TW,27
TW,28
TW,29
TW,30
TW,31
TW,32
TW,33
TW,34
TW,35
TW,36
TW,37
TW,38
TW,39
TW,40
TW,41
TW,42
TW,43
TW,44
TW,45
TW,46
TW,47
TW,55
TW,56
TW,57
TW,58
TW,59
TW,60
TW,61
TW,62
TW,63
TW,64
TW,65
TW,66
TW,67
TW,68
TW,69
TW,70
TW,71
TW,72
TW,73
TW,81
TW,82
TW,83
TW,84
TW,85
TW,86
TW,87
TW,88
TW,89
TW,90
TW,91
TW,92
TW,93
TW,94
TW,95
TW,96
TW,97
TW,98
TW,99
TW,100
